Original_Text,Word_Count,Char_Count,Sentiment_Polarity,Translated_Text,Source_Id,Source_Name,xmin,ymin,xmax,ymax,Page,Total_Sentences
Advances in Humanities Research Vol.12 Issue 6,6,2,0.0,Advances in Humanities Research Vol.12 Issue 6,4,ColdWar,english,0.9999956302931631,0,Advances in Humanities Research Vol.12 Issue 6,48.937068939208984,33.29167175292969,242.77438354492188,44.14082717895508,0,886
EWA Publishing,1,2,0.0,EWA Publishing,4,ColdWar,english,0.9999959253562486,0,EWA Publishing,495.7615051269531,33.29167175292969,562.4028930664062,44.14082717895508,0,886
Available Online: 10 September 2025,4,2,0.0,Available Online: 10 September 2025,4,ColdWar,english,0.857138431409338,0,Available Online: 10 September 2025,48.937068939208984,47.12240219116211,197.39230346679688,57.9715576171875,0,886
DOI: 10.54254/2753-7080/2025.26572,1,2,0.0,DOI: 10.54254/2753-7080/2025.26572,4,ColdWar,confident_non_english,0.9999926105044895,0,,408.68011474609375,47.12240219116211,562.4028930664062,57.9715576171875,0,886
"The Cold War: origins,causes, and global impacts",6,2,-0.5994,"The Cold War: origins,causes, and global impacts",4,ColdWar,english,0.9999979090580808,0,"The Cold War: origins,causes, and global impacts",47.25,80.70941162109375,427.9576110839844,100.64254760742188,0,886
Yixuan Bai,1,2,0.0,Yixuan Bai,4,ColdWar,uncertain_non_english,0.7142847927509057,0,Yixuan Bai,47.25,127.30502319335938,102.93670654296875,140.59378051757812,0,886
"Nanjing Jingling High School Hexi Campus, Nanjing, China",7,2,0.0,"Nanjing Jingling High School Hexi Campus, Nanjing, China",4,ColdWar,maybe_english,0.7142832729043757,0,"Nanjing Jingling High School Hexi Campus, Nanjing, China",47.25,159.08876037597656,290.1938171386719,170.1599578857422,0,886
646467343@qq.com,0,2,0.0,646467343@qq.com,4,ColdWar,unknown,,0,646467343@qq.com,47.25,183.0882110595703,131.1438751220703,194.15940856933594,0,886
Abstract.,0,2,0.0,Abstract.,4,ColdWar,uncertain_non_english,0.5750396901167677,0,Abstract.,47.25,219.83738708496094,89.4448471069336,230.90858459472656,0,886
"Republics between 1947 and 1991. After World War II, the US and the USSR became two poles of the world by virtue of their",23,2,-0.2732,"Republics between 1947 and 1991. After World War II, the US and the USSR became two poles of the world by virtue of their",4,ColdWar,english,0.9999956460122887,0,"Republics between 1947 and 1991. After World War II, the US and the USSR became two poles of the world by virtue of their",47.25,231.8371124267578,565.4874267578125,242.90830993652344,0,886
"great strength, and they became opposed due to differences in ideology and geopolitics. Militarily, NATO confronts the Warsaw",17,2,0.743,"great strength, and they became opposed due to differences in ideology and geopolitics. Militarily, NATO confronts the Warsaw",4,ColdWar,english,0.9999969141564038,0,"great strength, and they became opposed due to differences in ideology and geopolitics. Militarily, NATO confronts the Warsaw",47.25,243.8368377685547,565.483154296875,254.9080352783203,0,886
"Pact and launches an arms race; Economically, the US implemented the Marshall Plan, and the USSR established the Economic",18,2,0.0,"Pact and launches an arms race; Economically, the US implemented the Marshall Plan, and the USSR established the Economic",4,ColdWar,english,0.9999951293310375,0,"Pact and launches an arms race; Economically, the US implemented the Marshall Plan, and the USSR established the Economic",47.25,255.8365936279297,565.4891967773438,266.9078063964844,0,886
"and Mutual Association; There is also a fierce ideological confrontation. It profoundly affected the international landscape,",15,2,-0.4404,"and Mutual Association; There is also a fierce ideological confrontation. It profoundly affected the international landscape,",4,ColdWar,english,0.9999965299376539,0,"and Mutual Association; There is also a fierce ideological confrontation. It profoundly affected the international landscape,",47.25,267.8363037109375,565.4815063476562,278.9075012207031,0,886
"economic development and cultural exchanges, and finally ended with the collapse of the USSR and the drastic changes in the",19,2,-0.4939,"economic development and cultural exchanges, and finally ended with the collapse of the USSR and the drastic changes in the",4,ColdWar,english,0.9999966234789851,0,"economic development and cultural exchanges, and finally ended with the collapse of the USSR and the drastic changes in the",47.25,279.8360595703125,565.4866333007812,290.9072570800781,0,886
"Eastern Europe. As an important historical stage in the second half of the 20th century, the Cold War had an extremely far-",21,2,-0.4767,"Eastern Europe. As an important historical stage in the second half of the 20th century, the Cold War had an extremely far-",4,ColdWar,english,0.9999973151049419,0,"Eastern Europe. As an important historical stage in the second half of the 20th century, the Cold War had an extremely far-",47.25,291.83575439453125,565.4866943359375,302.9069519042969,0,886
"reaching impact on the world.This article will introduce the basic concepts related to the Cold War, such as the historical",19,2,-0.4767,"reaching impact on the world.This article will introduce the basic concepts related to the Cold War, such as the historical",4,ColdWar,english,0.9999961662417625,0,"reaching impact on the world.This article will introduce the basic concepts related to the Cold War, such as the historical",47.25,303.83551025390625,565.4857788085938,314.9067077636719,0,886
"background of the Cold War, the introduction of the two camps, the introduction of emphasis, the aspects of struggle, and the",20,2,-0.7351,"background of the Cold War, the introduction of the two camps, the introduction of emphasis, the aspects of struggle, and the",4,ColdWar,english,0.9999979342078766,0,"background of the Cold War, the introduction of the two camps, the introduction of emphasis, the aspects of struggle, and the",47.25,315.8352355957031,565.4874877929688,326.90643310546875,0,886
international political theories related to the Cold War. It also discuss the key events of the Cold War and discuss the impact of,22,2,-0.8316,international political theories related to the Cold War. It also discuss the key events of the Cold War and discuss the impact of,4,ColdWar,english,0.9999955984270448,0,international political theories related to the Cold War. It also discuss the key events of the Cold War and discuss the impact of,47.25,327.8349609375,565.484619140625,338.9061584472656,0,886
"the Cold War and its implications for the present day from three periods: the pre-60s, the 70s, the 80s and beyond.",20,2,-0.5994,"the Cold War and its implications for the present day from three periods: the pre-60s, the 70s, the 80s and beyond.",4,ColdWar,english,0.9999986711510519,0,"the Cold War and its implications for the present day from three periods: the pre-60s, the 70s, the 80s and beyond.",47.25,339.8346862792969,502.91168212890625,350.9058837890625,0,886
Keywords:,0,2,0.0,Keywords:,4,ColdWar,confident_non_english,0.9999967436397882,0,,47.25,363.8341369628906,96.39022827148438,374.90533447265625,0,886
1. Introduction,1,2,0.0,1. Introduction,4,ColdWar,english,0.9999955410034838,0,1. Introduction,47.25,401.048828125,124.37348175048828,414.33758544921875,0,886
"The Cold War originated from the Yalta Conference at the end of the Second World War. After the end of the Second World War,",23,2,-0.9136,"The Cold War originated from the Yalta Conference at the end of the Second World War. After the end of the Second World War,",4,ColdWar,english,0.9999989637431146,0,"The Cold War originated from the Yalta Conference at the end of the Second World War. After the end of the Second World War,",47.25,426.83270263671875,565.4852905273438,437.9039001464844,0,886
"the United States(the US)and the Soviet Union(the USSR), as the most powerful countries, naturally formed opposition due to",17,2,0.7089,"the United States(the US)and the Soviet Union(the USSR), as the most powerful countries, naturally formed opposition due to",4,ColdWar,english,0.9999974790352109,0,"the United States(the US)and the Soviet Union(the USSR), as the most powerful countries, naturally formed opposition due to",47.25,438.8324279785156,565.4794921875,449.90362548828125,0,886
"different ideologies. In 1946, former British Prime Minister Winston Churchill delivered his ""Iron Curtain Speech"", marking the",16,2,0.0,"different ideologies. In 1946, former British Prime Minister Winston Churchill delivered his ""Iron Curtain Speech"", marking the",4,ColdWar,english,0.9999969659900334,0,"different ideologies. In 1946, former British Prime Minister Winston Churchill delivered his ""Iron Curtain Speech"", marking the",47.25,450.8321838378906,565.4846801757812,461.90338134765625,0,886
"beginning of the Cold War. In 1947, US President Harry Truman introduced the Truman Doctrine, which clarified that the US",19,2,-0.5994,"beginning of the Cold War. In 1947, US President Harry Truman introduced the Truman Doctrine, which clarified that the US",4,ColdWar,english,0.9999979014387016,0,"beginning of the Cold War. In 1947, US President Harry Truman introduced the Truman Doctrine, which clarified that the US",47.25,462.8319091796875,565.4835815429688,473.9031066894531,0,886
"would take tough measures against the USSR, marking the beginning of the Cold War.",13,2,-0.6597,"would take tough measures against the USSR, marking the beginning of the Cold War.",4,ColdWar,english,0.9999954184559503,0,"would take tough measures against the USSR, marking the beginning of the Cold War.",47.25,474.8316345214844,393.0107116699219,485.90283203125,0,886
"‌During the Cold War, the US and the USSR developed rapidly in military and aerospace technology, which formed the",18,2,-0.5994,"‌During the Cold War, the US and the USSR developed rapidly in military and aerospace technology, which formed the",4,ColdWar,english,0.9999976002202254,0,"During the Cold War, the US and the USSR developed rapidly in military and aerospace technology, which formed the",61.41764831542969,486.83135986328125,565.4818115234375,497.9025573730469,0,886
